Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas32723         Pavarde32723        7         4         10        0         1         2         9         2         5         7         7         7         0         5         7         10        
Vardas32724         Pavarde32724        6         9         6         1         3         5         0         7         8         8         6         9         4         5         10        6         
Vardas32725         Pavarde32725        7         5         2         5         0         6         2         7         4         2         9         9         2         8         3         4         
Vardas32726         Pavarde32726        1         6         1         3         10        9         4         4         2         6         6         8         10        4         9         10        
Vardas32727         Pavarde32727        3         6         1         10        0         6         5         1         7         8         3         2         2         3         1         6         
Vardas32728         Pavarde32728        10        8         0         8         3         10        4         7         9         1         5         2         9         2         8         6         
Vardas32729         Pavarde32729        0         3         5         0         5         5         5         4         10        4         3         6         4         0         7         0         
Vardas32730         Pavarde32730        5         9         3         7         7         8         10        5         3         4         1         7         0         1         10        1         
Vardas32731         Pavarde32731        10        1         6         1         4         7         4         6         7         7         9         9         6         4         0         2         
Vardas32732         Pavarde32732        7         2         10        9         7         3         10        5         10        1         4         6         4         10        5         0         
Vardas32733         Pavarde32733        9         10        4         9         7         8         8         9         8         2         9         6         0         9         0         10        
Vardas32734         Pavarde32734        4         3         3         8         10        0         4         6         3         2         1         2         6         1         3         7         
Vardas32735         Pavarde32735        10        5         5         2         4         6         1         2         5         9         2         2         1         4         3         4         
Vardas32736         Pavarde32736        3         2         5         7         9         2         1         7         1         7         4         9         7         10        8         3         
Vardas32737         Pavarde32737        6         6         4         0         8         10        1         4         10        9         9         10        8         0         8         10        
Vardas32738         Pavarde32738        10        5         7         3         5         10        1         2         9         8         6         4         4         1         4         5         
Vardas32739         Pavarde32739        1         9         2         6         8         8         0         7         2         10        3         10        9         1         8         9         
Vardas32740         Pavarde32740        6         2         5         4         6         1         2         7         3         2         8         5         2         1         2         0         
Vardas32741         Pavarde32741        6         0         8         3         10        9         10        5         0         6         4         8         4         6         9         0         
Vardas32742         Pavarde32742        8         10        8         3         8         2         9         1         3         3         7         2         5         7         5         10        
Vardas32743         Pavarde32743        3         9         8         8         9         2         2         5         10        4         9         1         3         7         8         8         
Vardas32744         Pavarde32744        7         7         1         3         3         10        2         6         5         9         0         5         9         6         5         1         
Vardas32745         Pavarde32745        10        8         1         8         4         3         3         1         10        7         2         0         6         0         0         7         
Vardas32746         Pavarde32746        9         0         3         3         9         10        7         5         0         4         5         5         1         6         7         1         
Vardas32747         Pavarde32747        10        7         6         3         0         6         7         0         6         4         0         8         5         6         0         3         
Vardas32748         Pavarde32748        0         10        1         3         3         2         2         2         10        2         1         5         3         0         3         1         
Vardas32749         Pavarde32749        0         6         4         2         10        4         4         7         2         0         4         4         7         9         0         0         
Vardas32750         Pavarde32750        3         4         5         2         0         1         7         5         2         9         6         7         7         4         2         6         
Vardas32751         Pavarde32751        9         7         9         0         7         6         3         2         8         1         6         2         7         5         5         6         
Vardas32752         Pavarde32752        8         4         0         0         6         10        5         7         5         5         8         4         4         8         1         3         
Vardas32753         Pavarde32753        2         10        5         6         9         10        8         6         1         8         5         6         3         5         2         0         
Vardas32754         Pavarde32754        3         6         7         6         1         4         4         6         8         7         4         9         5         0         7         10        
Vardas32755         Pavarde32755        5         0         4         9         3         4         0         6         2         1         5         8         3         5         10        3         
Vardas32756         Pavarde32756        0         4         10        4         5         8         3         8         3         2         1         7         9         10        0         7         
Vardas32757         Pavarde32757        9         10        0         2         4         1         2         2         0         9         7         10        0         10        3         6         
Vardas32758         Pavarde32758        0         6         6         3         0         10        8         7         5         2         10        2         4         0         3         8         
Vardas32759         Pavarde32759        0         3         9         3         7         6         1         5         0         0         1         10        10        3         9         8         
Vardas32760         Pavarde32760        8         2         6         3         9         6         2         10        10        4         8         8         8         7         2         6         
Vardas32761         Pavarde32761        1         1         7         1         8         1         9         10        4         10        0         10        10        6         7         2         
Vardas32762         Pavarde32762        4         8         0         6         8         4         1         8         4         7         1         2         4         3         0         0         
Vardas32763         Pavarde32763        0         7         3         10        3         10        3         8         3         0         6         10        3         9         3         7         
Vardas32764         Pavarde32764        5         0         4         9         10        4         7         7         0         2         3         8         0         6         0         3         
Vardas32765         Pavarde32765        7         8         3         8         3         9         7         0         3         1         1         10        3         7         9         8         
Vardas32766         Pavarde32766        4         8         0         4         6         1         10        8         7         8         1         7         0         6         7         4         
Vardas32767         Pavarde32767        5         2         4         10        6         8         0         7         9         0         10        7         4         10        0         5         
Vardas32768         Pavarde32768        9         4         6         5         2         8         6         5         1         4         2         2         2         6         1         5         
Vardas32769         Pavarde32769        0         6         2         0         5         2         10        7         2         8         4         9         6         5         5         3         
Vardas32770         Pavarde32770        1         5         3         7         0         6         1         2         6         9         1         9         4         8         8         8         
Vardas32771         Pavarde32771        2         8         7         3         7         0         9         6         2         1         3         1         3         8         5         5         
Vardas32772         Pavarde32772        2         2         9         4         9         7         3         7         3         10        7         2         6         7         3         5         
Vardas32773         Pavarde32773        2         9         10        2         3         8         9         9         1         10        1         10        10        6         6         1         
Vardas32774         Pavarde32774        4         3         6         8         6         6         0         10        4         8         4         6         6         5         9         3         
Vardas32775         Pavarde32775        9         3         4         6         6         0         3         3         4         1         1         5         4         2         7         5         
Vardas32776         Pavarde32776        7         2         0         4         1         7         5         4         5         4         0         4         1         5         0         1         
Vardas32777         Pavarde32777        5         4         1         10        0         9         4         6         10        3         2         8         4         3         4         3         
Vardas32778         Pavarde32778        6         2         2         2         9         6         3         5         2         5         8         9         3         5         9         10        
Vardas32779         Pavarde32779        6         1         8         5         0         1         7         3         1         0         5         4         1         5         4         7         
Vardas32780         Pavarde32780        4         6         3         6         7         7         7         8         0         2         8         2         5         5         8         7         
Vardas32781         Pavarde32781        8         7         0         10        4         6         2         4         8         0         5         7         1         6         0         9         
Vardas32782         Pavarde32782        6         0         2         6         3         3         2         6         10        7         1         8         5         3         3         3         
Vardas32783         Pavarde32783        3         1         4         3         3         2         0         7         5         6         8         2         9         2         0         10        
Vardas32784         Pavarde32784        0         10        0         8         8         2         5         2         10        1         1         2         2         5         9         8         
Vardas32785         Pavarde32785        4         0         5         10        0         4         5         3         7         1         3         1         6         10        1         1         
Vardas32786         Pavarde32786        7         2         5         9         2         0         7         3         3         8         7         10        3         4         8         10        
Vardas32787         Pavarde32787        10        1         1         0         7         4         0         4         5         6         5         8         1         3         7         7         
Vardas32788         Pavarde32788        8         8         10        8         8         10        5         6         4         2         0         9         3         3         2         6         
Vardas32789         Pavarde32789        9         0         10        3         5         7         10        7         2         6         10        9         4         3         8         10        
Vardas32790         Pavarde32790        2         6         4         8         5         6         6         10        6         8         4         3         3         6         1         6         
Vardas32791         Pavarde32791        6         9         4         6         4         2         3         8         8         8         6         2         7         10        7         0         
Vardas32792         Pavarde32792        0         3         0         6         8         2         0         10        7         8         3         10        5         2         0         0         
Vardas32793         Pavarde32793        1         7         5         6         4         10        7         6         5         8         5         1         6         9         10        0         
Vardas32794         Pavarde32794        2         0         6         6         1         8         8         5         4         5         5         5         6         7         10        0         
Vardas32795         Pavarde32795        8         2         5         9         5         1         1         1         7         6         2         1         4         9         3         7         
Vardas32796         Pavarde32796        5         2         10        7         10        7         4         7         8         9         4         7         7         8         3         0         
Vardas32797         Pavarde32797        6         10        4         4         1         9         2         9         3         3         8         7         2         8         10        2         
Vardas32798         Pavarde32798        5         10        10        9         0         2         8         3         0         7         3         8         8         6         10        10        
Vardas32799         Pavarde32799        8         1         3         3         3         0         10        9         5         5         7         8         4         5         5         10        
Vardas32800         Pavarde32800        0         9         10        1         7         1         1         8         7         0         4         1         9         9         8         0         
Vardas32801         Pavarde32801        8         4         2         2         5         10        7         10        4         5         0         1         3         0         4         4         
Vardas32802         Pavarde32802        9         4         6         0         0         7         4         3         5         6         2         6         6         5         8         1         
Vardas32803         Pavarde32803        5         4         10        5         9         9         6         1         7         3         0         8         5         9         9         4         
Vardas32804         Pavarde32804        10        6         8         2         1         9         6         9         1         3         6         8         9         9         10        4         
Vardas32805         Pavarde32805        1         7         10        4         10        7         2         3         6         5         8         8         4         9         10        9         
Vardas32806         Pavarde32806        0         10        9         8         0         10        10        10        7         7         5         2         1         6         1         4         
Vardas32807         Pavarde32807        1         7         2         2         6         8         5         7         6         8         9         2         0         1         2         5         
Vardas32808         Pavarde32808        8         9         4         4         0         10        1         3         7         10        4         2         5         0         4         8         
Vardas32809         Pavarde32809        9         5         2         10        2         6         10        7         4         5         2         9         2         1         7         8         
Vardas32810         Pavarde32810        5         3         9         4         5         4         5         7         1         7         8         0         10        7         5         6         
Vardas32811         Pavarde32811        8         7         10        4         6         6         0         9         9         9         3         8         1         9         8         1         
Vardas32812         Pavarde32812        5         2         9         2         0         10        7         3         7         1         10        1         5         7         7         8         
Vardas32813         Pavarde32813        8         10        4         7         2         5         5         4         2         2         2         5         6         8         3         3         
Vardas32814         Pavarde32814        7         5         9         8         8         0         5         9         7         3         4         7         0         2         9         6         
Vardas32815         Pavarde32815        9         5         6         2         10        6         5         0         4         7         7         10        7         2         5         6         
Vardas32816         Pavarde32816        1         4         5         10        2         7         10        2         5         6         3         4         6         9         8         4         
Vardas32817         Pavarde32817        2         6         3         4         4         0         9         7         5         9         5         2         3         10        3         5         
Vardas32818         Pavarde32818        7         10        5         7         10        0         7         0         10        5         5         1         5         2         3         10        
Vardas32819         Pavarde32819        0         8         6         1         2         7         0         1         0         8         5         6         8         10        2         1         
Vardas32820         Pavarde32820        10        9         2         3         1         5         5         10        9         3         0         7         4         6         8         7         
Vardas32821         Pavarde32821        4         2         8         10        6         8         0         10        8         4         6         5         0         6         1         3         
Vardas32822         Pavarde32822        1         7         6         1         8         3         8         3         9         2         4         7         3         6         2         7         
Vardas32823         Pavarde32823        6         3         9         1         3         2         2         4         0         1         10        8         1         8         4         10        
Vardas32824         Pavarde32824        1         8         9         9         6         2         3         1         1         6         9         4         5         1         5         8         
Vardas32825         Pavarde32825        1         5         8         7         10        10        2         7         2         4         1         6         10        5         8         9         
Vardas32826         Pavarde32826        10        8         5         0         4         4         7         2         7         8         10        6         6         2         5         7         
Vardas32827         Pavarde32827        2         1         0         5         4         3         9         8         6         2         9         10        6         4         5         8         
Vardas32828         Pavarde32828        4         6         5         7         7         9         3         7         8         2         3         8         3         10        8         9         
Vardas32829         Pavarde32829        7         5         5         9         6         2         4         8         3         10        7         7         0         6         0         7         
Vardas32830         Pavarde32830        9         6         10        5         9         7         4         6         4         7         4         1         9         10        6         6         
Vardas32831         Pavarde32831        7         8         6         1         0         10        0         2         2         2         7         6         7         0         5         3         
Vardas32832         Pavarde32832        7         1         3         4         8         0         9         3         3         6         9         5         2         0         4         9         
Vardas32833         Pavarde32833        9         2         4         9         1         10        3         3         4         5         2         1         9         5         0         8         
Vardas32834         Pavarde32834        0         7         5         4         7         7         8         5         3         10        5         5         6         8         4         3         
Vardas32835         Pavarde32835        8         10        4         5         2         5         5         0         8         7         0         0         1         9         5         8         
Vardas32836         Pavarde32836        2         6         3         1         1         9         1         0         6         1         9         2         1         6         4         3         
Vardas32837         Pavarde32837        1         3         2         2         3         2         5         6         8         5         5         0         0         0         5         1         
Vardas32838         Pavarde32838        1         8         6         8         1         6         6         9         9         7         1         2         5         4         7         10        
Vardas32839         Pavarde32839        3         5         7         4         4         5         9         0         6         8         2         1         7         3         0         0         
Vardas32840         Pavarde32840        2         6         1         10        0         6         4         0         3         10        8         0         10        3         6         0         
Vardas32841         Pavarde32841        2         0         1         5         9         0         1         2         6         2         9         10        8         9         0         10        
Vardas32842         Pavarde32842        5         7         2         3         2         1         7         7         10        8         8         2         8         3         4         0         
Vardas32843         Pavarde32843        8         10        1         10        10        8         0         9         1         0         9         4         10        5         1         7         
Vardas32844         Pavarde32844        3         0         0         8         0         4         7         5         3         5         2         3         4         7         10        3         
Vardas32845         Pavarde32845        5         3         7         3         10        5         3         0         10        7         7         4         1         10        7         7         
Vardas32846         Pavarde32846        6         0         6         3         9         0         0         3         0         2         10        0         10        6         7         9         
Vardas32847         Pavarde32847        9         3         3         4         1         3         10        10        10        2         8         1         3         6         10        4         
Vardas32848         Pavarde32848        0         4         1         5         6         3         4         9         6         5         1         6         7         3         7         3         
Vardas32849         Pavarde32849        0         9         6         1         1         0         5         2         4         9         1         2         9         1         6         3         
Vardas32850         Pavarde32850        6         3         0         0         7         0         2         9         1         9         2         10        4         7         7         9         
Vardas32851         Pavarde32851        5         7         5         8         8         7         0         5         5         2         1         1         1         7         3         10        
Vardas32852         Pavarde32852        3         8         1         7         7         0         10        9         8         6         6         2         0         10        1         5         
Vardas32853         Pavarde32853        2         10        9         7         3         1         1         5         9         3         7         0         0         3         6         6         
Vardas32854         Pavarde32854        5         2         9         4         6         1         5         7         7         7         8         1         9         6         2         8         
Vardas32855         Pavarde32855        7         7         6         8         5         8         3         5         10        8         4         4         8         2         10        4         
Vardas32856         Pavarde32856        0         0         0         3         7         10        7         6         3         8         5         1         0         6         2         1         
Vardas32857         Pavarde32857        5         0         2         4         4         7         9         0         7         7         4         1         3         8         1         8         
Vardas32858         Pavarde32858        1         8         2         8         6         4         10        4         9         0         3         0         6         3         7         2         
Vardas32859         Pavarde32859        10        5         6         1         3         2         6         7         4         3         1         2         6         3         9         0         
Vardas32860         Pavarde32860        2         6         2         10        10        10        0         4         1         2         7         4         1         3         1         8         
Vardas32861         Pavarde32861        5         5         5         2         5         8         7         9         10        6         1         2         4         9         1         5         
Vardas32862         Pavarde32862        1         2         8         7         6         6         10        4         7         3         1         5         4         10        1         5         
Vardas32863         Pavarde32863        6         8         5         7         9         6         2         7         9         2         9         1         3         8         2         0         
Vardas32864         Pavarde32864        3         8         0         4         1         10        2         7         8         6         10        4         8         7         5         0         
Vardas32865         Pavarde32865        1         4         10        8         6         2         1         6         6         2         9         6         9         3         8         10        
Vardas32866         Pavarde32866        5         9         7         7         10        5         7         4         4         2         4         4         8         10        0         8         
Vardas32867         Pavarde32867        9         9         8         5         3         9         7         7         2         8         10        9         4         2         5         2         
Vardas32868         Pavarde32868        10        0         5         4         2         7         9         1         0         7         5         0         8         4         7         0         
Vardas32869         Pavarde32869        2         8         7         4         5         9         6         7         10        1         4         0         8         8         3         6         
Vardas32870         Pavarde32870        10        0         1         3         6         8         3         10        8         4         1         5         8         5         9         8         
Vardas32871         Pavarde32871        2         0         7         10        2         7         5         6         4         4         4         1         8         1         4         9         
Vardas32872         Pavarde32872        0         9         5         8         4         3         7         10        10        6         2         7         9         9         5         8         
Vardas32873         Pavarde32873        8         3         2         3         7         5         8         4         6         1         5         1         8         9         1         4         
Vardas32874         Pavarde32874        9         5         9         1         5         8         5         0         1         7         1         3         10        9         9         9         
Vardas32875         Pavarde32875        2         1         1         6         7         1         2         8         8         9         4         5         10        8         7         0         
Vardas32876         Pavarde32876        2         0         8         1         5         2         5         0         7         0         2         7         9         4         3         6         
Vardas32877         Pavarde32877        6         3         4         6         8         9         6         2         8         1         0         2         9         1         2         2         
Vardas32878         Pavarde32878        7         8         5         2         7         6         5         0         2         8         3         7         2         3         1         5         
Vardas32879         Pavarde32879        6         2         1         2         7         6         3         6         6         1         8         10        0         1         7         4         
Vardas32880         Pavarde32880        4         9         8         10        3         8         4         7         3         3         4         1         3         6         5         2         
Vardas32881         Pavarde32881        8         3         2         3         3         1         1         5         7         0         1         7         1         10        6         2         
Vardas32882         Pavarde32882        0         9         7         1         3         2         8         6         10        4         4         3         9         2         7         9         
Vardas32883         Pavarde32883        0         6         7         6         1         5         8         9         7         10        9         8         3         9         4         8         
Vardas32884         Pavarde32884        8         5         2         10        9         0         7         7         6         10        5         4         8         9         10        7         
Vardas32885         Pavarde32885        2         6         5         1         3         6         4         0         4         8         6         10        6         3         0         0         
Vardas32886         Pavarde32886        1         6         4         1         9         0         9         0         10        1         7         9         10        8         1         6         
Vardas32887         Pavarde32887        8         1         10        1         9         5         10        9         1         9         10        6         9         0         1         0         
Vardas32888         Pavarde32888        5         3         2         0         10        9         8         2         6         2         10        1         8         8         8         1         
Vardas32889         Pavarde32889        9         3         10        6         5         2         8         2         0         5         1         6         9         5         4         8         
Vardas32890         Pavarde32890        10        7         6         4         7         1         3         7         8         2         6         1         7         1         5         7         
Vardas32891         Pavarde32891        10        10        4         6         10        8         5         9         0         8         0         9         6         4         1         2         
Vardas32892         Pavarde32892        10        2         7         3         10        2         9         8         2         1         8         6         2         3         0         6         
Vardas32893         Pavarde32893        0         8         8         7         1         8         0         8         6         10        5         8         7         0         10        5         
Vardas32894         Pavarde32894        10        0         0         8         9         1         0         1         3         0         1         4         9         0         9         10        
Vardas32895         Pavarde32895        4         4         8         10        7         7         3         3         7         0         6         2         7         4         9         9         
Vardas32896         Pavarde32896        10        3         0         8         8         0         0         10        8         5         9         6         7         4         1         1         
Vardas32897         Pavarde32897        1         6         1         1         2         10        6         1         5         2         6         5         5         6         7         7         
Vardas32898         Pavarde32898        1         9         0         1         4         10        8         8         0         7         9         2         4         5         9         0         
Vardas32899         Pavarde32899        8         2         4         9         5         6         9         0         2         5         5         6         6         7         3         7         
Vardas32900         Pavarde32900        7         8         8         7         1         8         0         7         1         1         10        3         8         5         6         9         
Vardas32901         Pavarde32901        7         8         9         8         10        6         7         6         10        10        9         8         1         8         2         2         
Vardas32902         Pavarde32902        3         4         8         8         7         2         10        4         3         2         6         5         6         8         8         2         
Vardas32903         Pavarde32903        4         0         3         4         8         1         7         6         4         0         3         6         3         10        1         1         
Vardas32904         Pavarde32904        5         5         4         10        2         6         9         1         2         6         9         6         8         5         9         10        
Vardas32905         Pavarde32905        4         4         2         6         4         8         1         6         2         4         0         8         9         5         4         0         
Vardas32906         Pavarde32906        2         6         2         4         6         8         6         9         0         5         7         9         7         1         2         7         
Vardas32907         Pavarde32907        4         7         9         8         5         0         5         5         3         2         1         8         1         8         2         4         
Vardas32908         Pavarde32908        8         2         7         3         9         2         3         6         5         0         9         1         3         10        5         1         
Vardas32909         Pavarde32909        1         2         4         10        2         8         4         8         8         9         10        5         5         8         9         9         
Vardas32910         Pavarde32910        6         8         9         6         9         7         4         0         3         0         7         0         6         7         2         6         
Vardas32911         Pavarde32911        7         10        8         8         1         1         4         2         2         0         6         6         6         6         6         0         
Vardas32912         Pavarde32912        0         0         5         10        3         9         9         1         6         7         3         4         0         6         10        2         
Vardas32913         Pavarde32913        1         5         3         10        5         8         4         10        6         2         2         0         10        6         0         7         
Vardas32914         Pavarde32914        9         8         7         4         10        9         8         5         0         9         5         4         2         9         0         4         
Vardas32915         Pavarde32915        0         9         4         4         1         10        0         6         3         1         5         10        8         10        6         10        
Vardas32916         Pavarde32916        1         1         9         3         1         10        5         3         2         7         5         3         2         5         0         10        
Vardas32917         Pavarde32917        2         7         2         1         3         2         4         6         9         1         6         3         3         4         4         9         
Vardas32918         Pavarde32918        0         5         7         9         1         8         5         8         2         7         10        2         2         10        1         0         
Vardas32919         Pavarde32919        2         8         3         4         2         8         4         6         1         7         6         5         8         4         0         4         
Vardas32920         Pavarde32920        0         2         9         8         6         1         2         5         10        8         7         5         6         4         8         4         
Vardas32921         Pavarde32921        2         7         1         10        9         10        6         9         4         6         2         1         1         10        8         7         
Vardas32922         Pavarde32922        5         7         8         10        3         4         7         3         2         5         1         9         3         4         2         6         
Vardas32923         Pavarde32923        9         2         10        4         5         1         5         2         8         0         7         6         9         7         5         10        
Vardas32924         Pavarde32924        3         1         5         7         2         10        6         4         8         9         1         1         0         10        9         7         
Vardas32925         Pavarde32925        4         4         9         6         5         9         6         10        1         6         3         6         2         6         3         4         
Vardas32926         Pavarde32926        0         2         10        0         10        6         9         6         7         1         4         0         4         0         10        6         
Vardas32927         Pavarde32927        3         6         5         3         7         9         4         6         7         4         8         8         10        8         5         1         
Vardas32928         Pavarde32928        8         10        1         2         2         8         8         6         10        1         3         7         6         3         5         5         
Vardas32929         Pavarde32929        7         9         8         2         2         1         4         2         7         7         2         3         7         4         4         3         
Vardas32930         Pavarde32930        10        7         10        1         0         3         10        3         3         8         5         3         0         10        5         3         
Vardas32931         Pavarde32931        7         9         7         10        0         7         7         6         4         4         0         4         10        10        1         9         
Vardas32932         Pavarde32932        9         7         3         6         3         2         1         8         4         6         7         6         3         7         8         5         
Vardas32933         Pavarde32933        8         9         4         0         1         7         1         3         0         10        2         8         2         3         1         2         
Vardas32934         Pavarde32934        8         0         3         9         1         9         4         4         2         3         0         3         3         5         7         0         
Vardas32935         Pavarde32935        6         10        5         3         4         1         7         3         6         8         0         7         4         9         7         9         
Vardas32936         Pavarde32936        9         4         4         0         6         10        6         10        9         0         10        3         1         7         0         4         
Vardas32937         Pavarde32937        1         0         2         5         2         3         0         9         2         4         9         6         0         3         7         5         
Vardas32938         Pavarde32938        10        6         6         3         6         5         8         7         0         6         5         0         9         1         7         3         
Vardas32939         Pavarde32939        9         0         1         6         0         10        6         7         2         0         1         0         7         4         0         8         
Vardas32940         Pavarde32940        5         4         4         10        2         0         2         1         4         1         9         6         10        8         6         8         
Vardas32941         Pavarde32941        6         0         4         7         6         4         1         0         6         0         6         6         10        0         2         6         
Vardas32942         Pavarde32942        4         0         4         6         8         3         4         0         9         5         3         7         1         5         10        0         
Vardas32943         Pavarde32943        3         0         8         2         6         8         4         6         2         0         9         7         3         9         9         4         
Vardas32944         Pavarde32944        1         8         9         6         5         8         8         8         10        3         5         1         1         9         9         7         
Vardas32945         Pavarde32945        10        6         9         0         2         5         7         1         1         10        10        2         2         8         2         1         
Vardas32946         Pavarde32946        9         4         6         4         5         5         5         1         8         5         1         10        2         9         5         6         
