Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1394          Pavarde1394         1         0         9         0         7         10        6         3         0         2         1         5         4         8         1         5         
Vardas1395          Pavarde1395         7         1         6         9         10        10        8         7         3         6         7         4         0         9         4         0         
Vardas1396          Pavarde1396         10        9         9         5         1         10        7         4         5         10        1         9         5         5         7         6         
Vardas1397          Pavarde1397         2         0         7         9         10        1         0         1         9         9         9         10        5         7         5         0         
Vardas1398          Pavarde1398         8         10        0         4         1         8         3         7         10        6         4         8         2         3         1         3         
Vardas1399          Pavarde1399         2         1         1         1         1         8         7         8         2         3         0         2         3         5         8         3         
Vardas1400          Pavarde1400         8         5         2         10        5         2         7         5         3         6         9         8         5         0         8         9         
Vardas1401          Pavarde1401         5         5         6         0         9         6         2         10        9         10        7         6         9         2         3         2         
Vardas1402          Pavarde1402         8         1         2         2         6         2         9         9         9         10        7         10        2         4         8         10        
Vardas1403          Pavarde1403         1         8         1         3         5         3         6         0         0         9         9         0         5         2         10        7         
Vardas1404          Pavarde1404         5         8         1         10        1         7         8         8         6         6         6         3         0         4         9         0         
Vardas1405          Pavarde1405         5         9         7         9         5         1         7         0         8         3         3         1         5         8         3         7         
Vardas1406          Pavarde1406         6         1         6         9         10        8         10        8         10        2         5         6         8         2         2         2         
Vardas1407          Pavarde1407         10        1         1         1         9         4         1         6         8         5         8         10        2         10        9         6         
Vardas1408          Pavarde1408         3         10        6         10        1         0         2         9         1         3         6         1         2         10        4         5         
Vardas1409          Pavarde1409         5         0         5         5         6         2         10        10        4         3         9         5         8         2         1         3         
Vardas1410          Pavarde1410         6         7         8         2         0         0         4         9         2         9         1         4         4         6         2         1         
Vardas1411          Pavarde1411         2         4         7         3         7         4         4         10        2         6         3         7         3         8         3         3         
Vardas1412          Pavarde1412         7         7         6         6         6         6         9         0         9         9         2         10        7         3         6         6         
Vardas1413          Pavarde1413         1         2         10        2         4         9         3         3         0         8         4         0         1         4         8         3         
Vardas1414          Pavarde1414         1         8         8         6         3         9         5         5         3         3         0         0         2         3         2         6         
Vardas1415          Pavarde1415         10        8         8         7         2         9         8         1         5         8         0         6         9         9         6         3         
Vardas1416          Pavarde1416         4         9         7         3         10        8         2         9         8         2         9         1         7         6         5         10        
Vardas1417          Pavarde1417         8         10        6         8         1         1         7         5         3         3         3         6         1         4         5         6         
Vardas1418          Pavarde1418         3         8         5         3         2         6         2         1         10        4         2         10        4         7         5         4         
Vardas1419          Pavarde1419         8         8         5         3         3         1         7         8         4         0         0         1         0         2         3         8         
Vardas1420          Pavarde1420         5         9         10        9         10        2         4         2         0         9         9         10        5         6         3         7         
Vardas1421          Pavarde1421         8         3         1         9         4         0         1         9         4         1         10        1         6         7         6         1         
Vardas1422          Pavarde1422         10        4         9         3         5         1         7         4         1         9         10        6         1         4         4         10        
Vardas1423          Pavarde1423         8         8         7         4         3         6         6         8         6         7         6         6         0         5         2         2         
Vardas1424          Pavarde1424         5         5         10        1         8         2         9         2         5         9         7         1         7         2         0         4         
Vardas1425          Pavarde1425         8         10        5         7         2         1         9         0         6         8         2         0         0         8         10        2         
Vardas1426          Pavarde1426         8         8         10        7         6         6         1         8         6         7         2         10        10        9         9         7         
Vardas1427          Pavarde1427         6         1         1         2         9         1         3         8         3         5         3         10        7         5         4         7         
Vardas1428          Pavarde1428         3         8         7         1         7         4         5         8         4         6         0         3         6         10        10        4         
Vardas1429          Pavarde1429         6         8         8         6         3         7         9         3         1         1         8         8         9         6         7         7         
Vardas1430          Pavarde1430         0         3         5         10        3         5         8         10        8         4         5         6         2         9         10        3         
Vardas1431          Pavarde1431         10        0         9         10        1         8         5         9         5         4         1         6         4         1         2         5         
Vardas1432          Pavarde1432         8         3         10        6         6         1         5         1         1         4         1         3         4         2         8         2         
Vardas1433          Pavarde1433         2         1         0         8         1         5         10        8         0         4         5         1         10        9         5         6         
Vardas1434          Pavarde1434         0         5         2         8         2         9         0         4         7         5         6         7         1         7         2         4         
Vardas1435          Pavarde1435         7         2         6         8         10        8         5         1         9         3         0         2         1         4         4         0         
Vardas1436          Pavarde1436         8         5         1         10        7         0         5         9         9         8         5         9         0         9         7         3         
Vardas1437          Pavarde1437         3         9         3         1         5         1         4         6         7         4         4         0         0         8         0         6         
Vardas1438          Pavarde1438         2         10        0         8         9         2         1         3         4         0         8         8         7         3         6         4         
Vardas1439          Pavarde1439         3         1         9         0         3         7         10        5         0         8         7         4         3         9         10        1         
Vardas1440          Pavarde1440         0         1         3         4         0         4         8         8         4         5         2         4         0         7         10        3         
Vardas1441          Pavarde1441         0         1         9         1         8         4         1         9         5         6         1         7         10        6         10        0         
Vardas1442          Pavarde1442         0         3         4         1         1         4         6         6         4         4         4         5         3         3         7         4         
Vardas1443          Pavarde1443         10        5         9         2         2         4         0         4         1         1         5         0         7         9         7         0         
Vardas1444          Pavarde1444         1         6         2         8         4         10        0         3         4         10        0         0         10        4         5         8         
Vardas1445          Pavarde1445         4         2         4         6         7         10        3         8         2         10        10        7         6         7         6         8         
Vardas1446          Pavarde1446         5         10        9         6         2         4         7         6         10        1         9         2         2         7         8         7         
Vardas1447          Pavarde1447         10        4         6         9         3         2         10        8         7         5         5         2         5         3         3         2         
Vardas1448          Pavarde1448         8         9         1         5         1         7         2         9         0         2         4         0         10        7         8         3         
Vardas1449          Pavarde1449         4         7         8         7         3         0         4         9         4         9         6         6         3         3         2         2         
Vardas1450          Pavarde1450         2         8         2         10        4         6         5         4         5         5         7         10        10        4         5         3         
Vardas1451          Pavarde1451         9         8         4         9         7         2         2         5         10        4         1         2         10        4         8         5         
Vardas1452          Pavarde1452         5         0         10        8         4         0         1         4         9         10        2         2         7         2         3         9         
Vardas1453          Pavarde1453         4         3         4         3         8         1         4         9         7         8         5         4         2         1         3         2         
Vardas1454          Pavarde1454         1         1         3         10        5         6         8         9         9         4         10        4         6         10        6         6         
Vardas1455          Pavarde1455         6         1         9         10        3         2         8         0         1         4         9         2         3         3         4         0         
Vardas1456          Pavarde1456         0         4         7         9         1         2         7         8         7         5         1         1         8         0         9         2         
Vardas1457          Pavarde1457         2         9         3         3         10        7         1         2         4         10        8         8         2         7         6         4         
Vardas1458          Pavarde1458         2         0         0         5         7         3         9         3         8         10        9         8         6         1         1         1         
Vardas1459          Pavarde1459         10        9         4         3         0         4         5         7         7         10        0         9         0         4         5         2         
Vardas1460          Pavarde1460         5         2         0         8         2         5         8         4         2         5         7         5         4         6         10        9         
Vardas1461          Pavarde1461         3         9         8         1         4         5         0         6         10        6         6         7         1         9         1         0         
Vardas1462          Pavarde1462         0         7         5         1         10        4         0         3         3         9         8         3         7         4         8         7         
Vardas1463          Pavarde1463         10        3         9         2         1         7         8         4         3         2         0         0         7         4         4         6         
Vardas1464          Pavarde1464         4         7         6         5         5         4         5         7         1         4         4         3         1         0         4         9         
Vardas1465          Pavarde1465         1         0         9         0         5         4         1         4         10        3         9         7         3         4         10        3         
Vardas1466          Pavarde1466         0         10        8         10        4         9         8         6         9         8         2         6         1         9         10        2         
Vardas1467          Pavarde1467         1         6         4         8         10        6         10        7         6         2         7         6         1         9         0         8         
Vardas1468          Pavarde1468         6         6         9         5         7         7         10        1         3         7         7         5         5         0         2         6         
Vardas1469          Pavarde1469         0         9         9         8         3         5         7         2         9         8         7         6         7         5         6         10        
Vardas1470          Pavarde1470         7         6         6         7         1         3         10        1         7         3         1         3         3         9         2         1         
Vardas1471          Pavarde1471         0         3         8         0         10        10        10        5         7         5         10        6         3         7         8         7         
Vardas1472          Pavarde1472         7         6         1         9         9         4         4         1         6         3         0         0         5         6         9         0         
Vardas1473          Pavarde1473         3         9         3         4         5         7         6         0         5         7         4         6         8         2         6         8         
Vardas1474          Pavarde1474         2         4         4         6         6         7         5         8         6         9         1         1         8         5         7         3         
Vardas1475          Pavarde1475         8         2         0         5         3         0         9         6         3         9         0         5         1         4         7         1         
Vardas1476          Pavarde1476         1         8         1         5         2         3         4         5         4         1         8         1         10        5         4         5         
Vardas1477          Pavarde1477         2         8         6         1         8         6         4         9         6         5         9         10        4         5         10        2         
Vardas1478          Pavarde1478         0         9         5         4         7         0         10        1         9         2         1         6         9         9         8         6         
Vardas1479          Pavarde1479         10        4         9         9         4         10        8         3         3         3         9         3         9         4         1         7         
Vardas1480          Pavarde1480         10        10        10        6         2         5         5         8         4         2         9         7         3         1         5         9         
Vardas1481          Pavarde1481         5         8         0         0         6         0         8         5         9         10        0         4         0         5         5         8         
Vardas1482          Pavarde1482         1         0         6         2         10        8         6         4         7         8         7         10        3         5         2         4         
Vardas1483          Pavarde1483         9         4         8         7         0         3         9         7         9         6         1         4         3         2         7         6         
Vardas1484          Pavarde1484         8         9         3         10        7         0         8         2         4         1         6         10        8         10        9         10        
Vardas1485          Pavarde1485         3         2         1         5         6         8         7         3         2         10        4         9         4         10        10        0         
Vardas1486          Pavarde1486         7         5         2         2         8         4         9         4         4         9         7         2         3         1         0         10        
Vardas1487          Pavarde1487         4         9         5         2         8         5         1         6         7         9         0         5         5         4         4         6         
Vardas1488          Pavarde1488         3         10        7         6         8         5         10        5         3         6         6         3         9         5         3         2         
Vardas1489          Pavarde1489         2         8         5         10        2         5         8         6         10        5         9         1         2         3         4         6         
Vardas1490          Pavarde1490         8         7         5         9         9         3         1         0         6         0         2         2         4         0         6         4         
Vardas1491          Pavarde1491         10        8         10        9         10        10        0         3         3         0         9         10        2         2         3         2         
Vardas1492          Pavarde1492         9         1         4         5         4         9         10        8         0         8         5         6         6         1         6         1         
Vardas1493          Pavarde1493         10        10        8         4         4         2         8         3         9         0         7         3         4         5         10        5         
Vardas1494          Pavarde1494         5         1         8         4         5         5         1         10        6         6         5         8         5         0         8         0         
Vardas1495          Pavarde1495         4         4         1         5         0         8         4         1         1         4         10        8         3         7         8         3         
Vardas1496          Pavarde1496         0         0         0         9         8         5         1         6         4         0         1         1         1         4         2         10        
Vardas1497          Pavarde1497         2         1         4         9         1         1         3         10        5         9         7         9         2         8         0         8         
Vardas1498          Pavarde1498         0         4         2         5         3         10        4         10        5         0         2         6         0         1         7         0         
Vardas1499          Pavarde1499         3         9         6         0         7         9         9         4         1         4         4         6         5         1         10        8         
Vardas1500          Pavarde1500         5         5         6         1         10        2         10        1         6         9         8         8         1         1         6         2         
Vardas1501          Pavarde1501         7         9         5         10        6         6         2         7         9         3         9         7         9         7         4         8         
Vardas1502          Pavarde1502         4         3         3         3         6         3         5         3         10        5         1         2         10        9         1         8         
Vardas1503          Pavarde1503         7         2         1         1         6         8         3         9         4         3         6         6         9         5         9         10        
Vardas1504          Pavarde1504         1         0         4         0         8         2         0         0         7         8         10        10        2         1         1         4         
Vardas1505          Pavarde1505         0         4         10        9         2         0         0         6         3         8         7         6         8         6         9         7         
Vardas1506          Pavarde1506         0         10        7         9         3         5         8         6         5         1         10        6         6         5         0         6         
Vardas1507          Pavarde1507         0         3         3         3         3         5         4         1         9         6         5         10        1         3         2         1         
Vardas1508          Pavarde1508         5         6         10        1         5         3         6         5         7         0         9         2         5         1         4         0         
Vardas1509          Pavarde1509         5         6         5         6         9         8         10        2         0         7         9         9         2         3         6         2         
Vardas1510          Pavarde1510         4         10        8         9         2         2         7         8         0         1         6         1         2         8         0         5         
Vardas1511          Pavarde1511         8         10        5         9         10        10        6         10        5         4         5         7         8         6         6         9         
Vardas1512          Pavarde1512         8         7         10        6         4         3         7         3         8         2         10        7         2         5         1         2         
Vardas1513          Pavarde1513         0         2         4         2         8         10        0         10        3         8         1         7         2         10        10        1         
Vardas1514          Pavarde1514         5         8         7         8         5         9         1         5         5         10        8         8         10        0         2         3         
Vardas1515          Pavarde1515         8         0         2         5         2         7         7         1         10        6         1         2         1         4         8         10        
Vardas1516          Pavarde1516         7         7         0         6         1         4         0         3         8         7         3         4         2         0         1         3         
Vardas1517          Pavarde1517         7         6         1         9         3         9         0         4         6         2         0         5         5         10        2         8         
Vardas1518          Pavarde1518         2         10        4         6         2         7         10        10        5         0         7         6         1         8         1         2         
Vardas1519          Pavarde1519         5         10        3         6         3         4         10        6         7         0         5         5         10        2         1         8         
Vardas1520          Pavarde1520         7         2         2         0         3         1         0         9         6         3         10        0         6         6         9         9         
Vardas1521          Pavarde1521         4         5         10        8         0         7         10        0         0         7         8         8         0         9         5         9         
Vardas1522          Pavarde1522         7         6         6         9         5         10        5         7         3         9         9         10        7         7         8         8         
Vardas1523          Pavarde1523         5         5         5         4         3         6         8         7         6         2         1         6         2         8         4         9         
Vardas1524          Pavarde1524         6         5         3         6         2         1         4         3         0         1         6         3         3         5         4         3         
Vardas1525          Pavarde1525         3         1         4         7         3         10        8         2         6         1         7         3         3         1         8         3         
Vardas1526          Pavarde1526         2         2         4         1         7         6         7         9         7         2         7         2         0         6         10        10        
Vardas1527          Pavarde1527         6         3         6         0         10        1         9         8         6         5         6         2         4         0         0         7         
Vardas1528          Pavarde1528         6         8         3         9         1         8         5         0         9         2         7         1         9         3         5         6         
Vardas1529          Pavarde1529         8         8         8         1         10        7         9         7         0         5         6         7         5         1         4         2         
Vardas1530          Pavarde1530         9         4         9         0         3         0         6         9         4         5         4         7         5         4         10        10        
Vardas1531          Pavarde1531         5         4         7         8         0         4         5         10        5         9         2         4         5         1         8         2         
Vardas1532          Pavarde1532         10        6         5         10        8         4         3         8         0         9         0         5         5         7         10        7         
Vardas1533          Pavarde1533         0         6         8         8         3         2         4         7         3         8         8         7         4         3         4         10        
Vardas1534          Pavarde1534         2         9         5         1         10        10        8         4         4         2         1         7         4         3         6         5         
Vardas1535          Pavarde1535         4         8         5         10        5         2         5         0         6         5         5         0         9         7         3         2         
Vardas1536          Pavarde1536         6         9         7         8         7         5         8         10        6         1         10        10        9         6         9         4         
Vardas1537          Pavarde1537         3         10        10        10        8         4         1         9         9         10        8         4         10        8         7         10        
Vardas1538          Pavarde1538         7         1         2         2         3         6         0         5         10        4         8         4         4         10        7         8         
Vardas1539          Pavarde1539         5         5         7         4         9         2         8         8         6         3         1         8         1         2         2         2         
Vardas1540          Pavarde1540         2         2         10        4         8         1         0         9         7         2         10        3         1         4         8         4         
Vardas1541          Pavarde1541         6         7         2         0         6         9         2         6         2         6         8         9         0         0         1         4         
Vardas1542          Pavarde1542         1         6         6         6         8         10        9         7         8         5         1         5         0         1         8         10        
Vardas1543          Pavarde1543         9         6         5         5         4         1         5         4         10        9         8         4         8         7         5         2         
Vardas1544          Pavarde1544         9         2         10        2         5         3         10        9         1         10        2         2         9         10        7         1         
Vardas1545          Pavarde1545         10        1         0         0         3         10        1         7         10        5         9         8         8         6         10        6         
Vardas1546          Pavarde1546         10        4         9         5         0         5         2         4         3         2         4         6         8         4         10        6         
Vardas1547          Pavarde1547         5         2         4         8         6         8         3         4         9         5         7         8         4         5         9         10        
Vardas1548          Pavarde1548         8         7         6         6         8         7         9         0         4         0         3         7         1         7         0         1         
Vardas1549          Pavarde1549         3         7         0         0         0         8         0         2         3         8         10        6         7         7         2         9         
Vardas1550          Pavarde1550         4         1         0         5         3         4         4         8         8         2         3         7         8         9         1         10        
Vardas1551          Pavarde1551         10        3         10        5         6         5         0         6         5         1         8         0         9         2         3         8         
Vardas1552          Pavarde1552         8         7         0         0         4         0         4         8         9         6         5         2         10        1         6         2         
Vardas1553          Pavarde1553         4         2         1         3         6         9         9         3         6         6         3         2         2         6         6         2         
Vardas1554          Pavarde1554         1         10        7         0         0         1         4         10        1         2         4         8         9         3         4         10        
Vardas1555          Pavarde1555         2         5         2         6         0         5         0         9         0         5         5         9         0         3         0         10        
Vardas1556          Pavarde1556         8         9         4         6         9         10        3         6         0         5         0         2         5         1         4         7         
Vardas1557          Pavarde1557         7         4         0         0         0         0         8         9         10        2         2         2         9         3         6         10        
Vardas1558          Pavarde1558         5         0         8         6         4         4         4         5         10        4         7         4         10        8         4         7         
Vardas1559          Pavarde1559         0         1         9         7         3         2         2         4         3         1         5         9         6         7         0         10        
Vardas1560          Pavarde1560         1         10        0         1         4         9         0         1         5         2         7         0         3         8         0         10        
Vardas1561          Pavarde1561         5         10        2         0         2         0         4         10        1         6         3         6         0         5         7         0         
Vardas1562          Pavarde1562         5         4         0         2         9         2         9         8         10        3         5         7         0         5         7         3         
Vardas1563          Pavarde1563         0         3         3         7         7         2         9         5         5         3         3         2         5         0         6         0         
Vardas1564          Pavarde1564         2         2         10        1         7         7         8         1         6         2         6         5         3         4         9         7         
Vardas1565          Pavarde1565         8         10        3         0         10        8         5         2         4         7         8         9         5         9         0         10        
Vardas1566          Pavarde1566         10        4         4         7         4         2         1         0         6         9         4         4         9         5         3         8         
Vardas1567          Pavarde1567         9         8         3         2         4         2         3         10        6         2         2         7         10        1         0         0         
Vardas1568          Pavarde1568         6         7         4         4         9         5         7         0         4         7         7         8         8         2         9         9         
Vardas1569          Pavarde1569         4         1         4         9         8         4         8         0         7         0         9         9         6         10        3         8         
Vardas1570          Pavarde1570         0         6         5         8         5         3         2         4         6         2         6         6         5         0         10        6         
Vardas1571          Pavarde1571         7         5         1         8         8         7         10        1         5         5         6         6         3         8         5         0         
Vardas1572          Pavarde1572         8         10        6         0         2         5         0         3         1         10        0         0         0         8         5         10        
Vardas1573          Pavarde1573         2         9         8         3         7         6         10        4         9         5         10        3         10        6         1         7         
Vardas1574          Pavarde1574         2         1         3         4         6         8         9         3         9         1         8         2         9         10        7         1         
Vardas1575          Pavarde1575         10        4         2         6         0         9         2         9         1         0         0         10        6         9         7         10        
Vardas1576          Pavarde1576         0         9         6         4         0         9         7         3         4         5         5         1         5         6         6         7         
Vardas1577          Pavarde1577         4         8         2         8         3         0         5         10        3         5         1         7         0         2         9         10        
Vardas1578          Pavarde1578         10        5         8         9         2         0         4         7         0         7         0         7         3         2         2         4         
Vardas1579          Pavarde1579         0         8         9         1         2         1         1         8         4         1         4         9         0         10        4         0         
Vardas1580          Pavarde1580         5         6         1         9         5         10        4         2         10        8         8         5         8         3         1         9         
Vardas1581          Pavarde1581         5         5         1         10        4         2         0         8         5         7         7         6         7         6         10        1         
Vardas1582          Pavarde1582         2         3         7         10        10        2         7         0         10        7         3         8         5         5         3         6         
Vardas1583          Pavarde1583         10        9         4         0         0         5         2         4         5         8         3         10        8         4         7         10        
Vardas1584          Pavarde1584         7         1         5         4         8         6         2         10        9         3         7         1         0         5         0         4         
Vardas1585          Pavarde1585         1         6         7         8         3         5         5         2         9         0         0         3         2         9         6         4         
Vardas1586          Pavarde1586         6         1         2         7         10        5         3         1         4         1         3         7         9         5         8         1         
Vardas1587          Pavarde1587         4         4         4         4         10        2         9         9         10        7         10        10        6         6         6         7         
Vardas1588          Pavarde1588         4         0         1         5         8         5         8         2         7         7         4         4         9         9         7         4         
Vardas1589          Pavarde1589         3         4         2         1         3         3         10        7         2         10        4         9         8         9         3         9         
Vardas1590          Pavarde1590         0         8         2         5         1         10        7         1         9         0         0         0         5         1         4         8         
Vardas1591          Pavarde1591         5         3         7         10        6         3         8         10        0         9         3         3         2         1         4         8         
Vardas1592          Pavarde1592         0         6         2         7         1         2         9         4         7         5         0         6         8         9         3         9         
Vardas1593          Pavarde1593         10        8         8         0         3         8         2         4         2         9         1         2         0         2         0         0         
Vardas1594          Pavarde1594         7         10        0         1         0         9         1         10        10        5         1         8         4         1         3         7         
Vardas1595          Pavarde1595         2         10        4         6         6         10        5         0         1         8         2         10        9         6         2         3         
Vardas1596          Pavarde1596         10        1         0         6         10        4         9         3         3         2         10        8         1         3         10        5         
Vardas1597          Pavarde1597         9         7         5         5         7         2         8         3         0         7         4         6         3         3         9         8         
Vardas1598          Pavarde1598         4         10        1         8         9         8         6         9         4         5         3         7         9         7         9         7         
Vardas1599          Pavarde1599         1         2         4         2         0         1         5         3         7         1         6         7         5         7         6         9         
Vardas1600          Pavarde1600         3         0         9         2         6         0         10        6         0         0         8         6         9         0         1         4         
Vardas1601          Pavarde1601         9         4         7         5         0         8         1         0         1         0         10        1         5         1         4         5         
Vardas1602          Pavarde1602         3         3         8         3         8         2         2         6         5         1         7         5         2         2         1         6         
Vardas1603          Pavarde1603         10        7         7         1         6         10        5         7         0         7         2         2         3         5         1         8         
Vardas1604          Pavarde1604         0         5         3         9         3         10        5         6         9         5         5         1         10        10        2         8         
Vardas1605          Pavarde1605         8         7         1         4         4         4         2         5         6         3         1         9         7         7         5         5         
Vardas1606          Pavarde1606         4         7         9         6         0         7         2         9         2         9         3         3         7         1         8         0         
Vardas1607          Pavarde1607         6         6         9         5         9         1         10        7         0         3         6         1         3         5         4         3         
Vardas1608          Pavarde1608         9         5         2         10        5         2         3         5         6         2         5         8         8         1         9         9         
Vardas1609          Pavarde1609         5         1         0         3         3         5         4         3         2         3         6         10        7         4         6         1         
Vardas1610          Pavarde1610         5         5         5         7         6         6         5         5         7         10        8         8         9         8         9         1         
Vardas1611          Pavarde1611         3         2         1         6         6         9         7         7         3         2         7         9         10        4         7         2         
Vardas1612          Pavarde1612         4         3         1         6         7         2         7         5         1         3         7         2         6         2         2         4         
Vardas1613          Pavarde1613         10        8         7         2         4         9         6         6         1         8         4         8         3         1         3         5         
Vardas1614          Pavarde1614         3         3         2         7         6         2         0         1         0         9         5         0         2         1         5         0         
Vardas1615          Pavarde1615         9         8         8         6         0         3         0         4         0         1         1         10        4         2         2         5         
Vardas1616          Pavarde1616         2         6         10        10        3         5         5         3         7         9         2         6         6         4         1         7         
Vardas1617          Pavarde1617         0         8         9         10        0         4         2         0         7         6         2         10        5         2         5         9         
